SFm,EDm,RSm,SEm,Em,El,RGm,Asm,Rm,RTm,RSd,ESm,RRm,Km,RTd,RGd,M1m,class
167.566765,4.05496,70.453729,0.865058,0.207584,0.004,94.858258,4762313.429436,3516.738853,86.844234,37.668519,0.942782,64.51615,121243117120.4224,66.782594,57.685038,0.102128,0
190.671231,3.987936,60.984727,0.83644,0.264289,0.003943,68.628052,3985089.098523,3029.813328,62.003779,34.488111,0.924206,55.974059,201547619817.03012,34.262461,34.262549,0.418063,0
144.412523,2.309538,69.868957,0.770843,0.201541,0.004266,86.672781,4712485.701624,1622.412356,62.361742,46.597933,0.912852,28.144228,116273005911.72331,38.111011,57.726123,1.761761,0
175.041056,3.315773,89.545823,0.758891,0.293749,0.003355,93.577339,5176119.538407,2953.567936,81.807311,36.303845,0.904532,77.061472,249411090404.4893,46.714601,46.582292,1.934314,1
188.74367,3.786863,68.176014,0.758762,0.291227,0.004264,97.267901,5443640.643766,2107.811525,93.320428,48.124957,0.888923,70.408336,195843852968.11572,69.804276,73.889373,2.485492,1
80.306205,2.907754,75.849621,0.817242,0.106392,0.002798,90.737099,1473983.794465,409.657512,69.436228,34.261759,0.932215,47.219695,45537040220.43807,35.98319,44.398306,2.270508,1
161.194275,4.274354,73.556186,0.795503,0.221979,0.004045,90.9565,4616200.672553,1357.610483,91.006133,34.740831,0.907681,62.765542,162023700410.68207,55.383578,49.867249,1.737927,1
182.037109,3.777336,42.461909,0.825784,0.221233,0.005004,70.415811,5782180.729189,1033.148809,68.344421,26.135243,0.921537,26.07626,118111094059.25069,37.960193,38.467319,1.424829,1
187.785938,4.883721,61.692132,0.800471,0.230906,0.007334,82.907795,11843411.270801,2240.319997,86.286212,35.70404,0.921613,50.538286,132813713154.85156,59.810849,50.049876,1.485804,1
204.229895,3.709893,78.320034,0.812674,0.285501,0.005631,107.578386,7689328.65506,2701.233911,100.048496,46.61678,0.91613,72.586082,233590764641.35223,71.642126,63.588978,1.887875,1
159.658567,2.220013,58.538734,0.777082,0.230771,0.008309,76.856337,12035834.638782,709.563151,67.861911,25.971312,0.913114,26.419774,109803978513.4076,35.275569,32.43593,2.081761,1
212.107973,3.857972,64.633267,0.862842,0.290551,0.004089,76.064116,5878303.610263,6242.858681,65.967305,37.786472,0.943354,73.221237,245877196449.96967,50.436444,51.256847,1.220469,1
261.994999,4.712911,68.271487,0.814001,0.354879,0.004471,92.171162,8251409.077894,5471.500874,92.287024,32.611218,0.915616,66.551248,394019618449.2229,53.557244,53.941654,1.365449,1
175.030985,3.677932,66.566436,0.824718,0.224282,0.004268,93.952347,4981129.008854,2253.268236,81.829536,29.137524,0.919127,56.27056,224734154240.6058,62.227486,56.713974,1.57229,1
167.91834,2.866667,71.992385,0.829336,0.237529,0.003442,97.91139,4118666.963485,2599.247759,84.14438,37.198242,0.931035,65.672472,218884282751.3096,61.09489,54.186502,1.549294,1
214.0143,4.278075,67.655276,0.839193,0.285126,0.003831,95.279948,4852668.467155,4677.511879,84.425121,33.355189,0.924069,76.441085,278505764826.6105,66.78704,61.668342,1.510954,1
224.625175,3.409091,73.01646,0.797824,0.32455,0.00508,91.983897,7237405.008918,3952.148907,81.479814,46.424316,0.925575,58.5334,225020877570.4123,71.56152,69.245387,1.637189,1
110.493926,2.906977,70.921132,0.725586,0.238765,0.003117,67.464943,3204330.504557,2123.010164,68.483968,79.440823,0.895922,110.414457,98640244037.35902,71.0673,61.927277,2.115594,1
70.756953,1.1,97.575686,0.672721,0.157192,0.002839,102.510153,3553331.322418,391.314417,94.24535,57.828204,0.827719,116.174882,47692092394.80784,77.017608,79.620898,2.19789,2
42.008048,1.573485,137.276678,0.627117,0.11287,0.001642,147.674587,1051607.204186,405.784736,133.423142,66.770267,0.791209,108.440612,36555879269.24125,97.444513,89.531303,4.703661,2
23.891166,0.331895,121.547988,0.625488,0.097578,0.001643,161.081678,1417626.1038,104.95238,135.820926,81.739565,0.778339,122.681517,17411556035.201694,116.503996,118.011381,4.131106,2
100.098036,1.977212,125.942352,0.743617,0.212657,0.003309,135.04349,3099007.770696,878.648551,109.786456,74.854788,0.902068,122.795718,104697255862.6528,75.212426,77.458499,2.08656,2
91.613342,2.090939,55.821707,0.717327,0.108952,0.00319,16.601253,2407884.52685,2795.910056,17.314847,19.703773,0.837493,32.368068,22048200350.792328,25.997124,25.797297,-0.692925,2
86.737523,4.39008,70.181682,0.612156,0.164653,0.003021,87.946429,2489624.212942,511.210914,79.445829,62.485319,0.770021,102.120308,61597642780.92994,64.072107,66.954643,4.301181,2
118.693633,2.190508,114.81341,0.707349,0.245098,0.003285,127.195828,3760910.371243,1866.182107,121.896239,63.517121,0.886657,98.993125,104064847781.84656,79.985811,79.189189,2.714952,2
